time, contactflag_LF, contactflag_RF, contactflag_LH, contactflag_RH, base_positionInWorld_x, base_positionInWorld_y, base_positionInWorld_z, base_euler_x, base_euler_y, base_euler_z, jointAngle_yaw, jointAngle_LH_HAA, jointAngle_LH_HFE, jointAngle_LH_KFE, jointAngle_RH_HAA, jointAngle_RH_HFE, jointAngle_RH_KFE, jointAngle_pitch, jointAngle_LF_HAA, jointAngle_LF_HFE, jointAngle_LF_KFE, jointAngle_RF_HAA, jointAngle_RF_HFE, jointAngle_RF_KFE
0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.34180229187011724, 0.0, 0.0, 0.03006093302137154, -0.026548301968245664, -0.09945907929392371, 0.2962187729842932, -0.92, 0.13245876795864356, 0.244719943169481, -0.92, -0.02660767665361649, 0.021381801946449737, 0.6337308939651326, -0.92, 0.16440026648187853, 0.5123646240607601, -0.92
0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.34180229187011724, 0.0, 0.0, 0.03006093302137154, -0.026548301968245664, -0.09945907929392371, 0.2962187729842932, -0.92, 0.13245876795864356, 0.244719943169481, -0.92, -0.02660767665361649, 0.021381801946449737, 0.6337308939651326, -0.92, 0.16440026648187853, 0.5123646240607601, -0.92
0.0374071267747664, 1.0, 1.0, 1.0, 1.0, 0.003350118001302249, 0.01840108672777812, 0.3444795099894207, 0.0, 0.0, 0.060408634477939684, 0.012622310268506421, -0.09883233786443966, 0.2867871730473248, -0.92, 0.12037989025340882, 0.25484747889182374, -0.92, -0.026706465016674133, -0.017743147140976676, 0.6330450631675272, -0.92, 0.124949159580453, 0.5113739738316346, -0.92
0.05595700257373913, 1.0, 1.0, 1.0, 1.0, 0.005063552856445552, 0.02751638233661652, 0.34582080841064455, 0.0, 0.0, 0.07405196268974237, 0.033005691134558965, -0.09797338841756423, 0.28208405825103827, -0.92, 0.11379407859070031, 0.259897417608563, -0.92, -0.02675636233747657, -0.036249795074295904, 0.6331620373112142, -0.92, 0.10637211505939322, 0.5104778460828703, -0.92
0.06695366127775149, 1.0, 1.0, 1.0, 1.0, 0.006118530273437806, 0.032912552118301394, 0.3466303176879883, 0.0, 0.0, 0.0812183398856071, 0.04573392092290749, -0.09711448958271858, 0.2792759577881494, -0.92, 0.10950654678459888, 0.2629010249198418, -0.92, -0.026786484177486258, -0.04660056014079817, 0.6335318615799597, -0.92, 0.09603938073715297, 0.5096888835552342, -0.92
0.07416430678745925, 1.0, 1.0, 1.0, 1.0, 0.006844787597656499, 0.036443968613942467, 0.34717494964599616, 0.0, 0.0, 0.08524452692529533, 0.05456323732092796, -0.09630361029371627, 0.2774176682688987, -0.92, 0.1064164147257272, 0.2648757596534048, -0.92, -0.0268078861802955, -0.05291155101928117, 0.6339982107253493, -0.92, 0.08978511520176437, 0.5089923708447119, -0.92
0.07920536625165414, 1.0, 1.0, 1.0, 1.0, 0.007381809779576111, 0.03890662516866412, 0.3475699506487166, 0.0, 0.0, 0.08758862941855493, 0.0610924972260911, -0.09557039691485292, 0.27610469825050127, -0.92, 0.10406676108287115, 0.26626066389520125, -0.92, -0.026822278880364946, -0.056956554946669555, 0.6344872373282102, -0.92, 0.08580435798604982, 0.5083806589110279, -0.92
0.08288504988391358, 1.0, 1.0, 1.0, 1.0, 0.007800369262695561, 0.040698223859071736, 0.34787221431732185, 0.0, 0.0, 0.08902583222618957, 0.06611367669948674, -0.09493293210650491, 0.27514061271923623, -0.92, 0.10226348774101698, 0.2672790039491728, -0.92, -0.02683303709569038, -0.05965479461046234, 0.6349467908304333, -0.92, 0.08316806951506947, 0.5078714836539545, -0.92
0.08565106478674084, 1.0, 1.0, 1.0, 1.0, 0.008138088650173871, 0.04203936338424683, 0.34811491224500873, 0.0, 0.0, 0.09002437873060407, 0.069951049584568, -0.0944793420420697, 0.2744339116146379, -0.92, 0.10085463589524207, 0.2680239891546983, -0.92, -0.026841371219275267, -0.06152594459390507, 0.6353325864094499, -0.92, 0.0813382968840255, 0.507471930623169, -0.92
0.0877705777378225, 1.0, 1.0, 1.0, 1.0, 0.008415069580078427, 0.04306228339672089, 0.34831585311889657, 0.0, 0.0, 0.09090281379291866, 0.07290215549566728, -0.0941954701321874, 0.2738993624014968, -0.92, 0.09984416501322571, 0.2685893964128844, -0.92, -0.026847913031873095, -0.06290118223309919, 0.6356039902126873, -0.92, 0.07997015968666824, 0.5072005551785683, -0.92
0.08941462880072475, 1.0, 1.0, 1.0, 1.0, 0.008648154518821323, 0.043850571025501606, 0.34848793723366484, 0.0, 0.0, 0.0919076446789815, 0.07504844583469682, -0.09414387679318086, 0.2735045472603203, -0.92, 0.09921101154368889, 0.2690087998568274, -0.92, -0.02685227538936018, -0.06400589219052583, 0.6357284112660139, -0.92, 0.07882295375400068, 0.5070801458851352, -0.92
0.0906974788230645, 1.0, 1.0, 1.0, 1.0, 0.008847885131836245, 0.0444601066907247, 0.3486378224690756, 0.0, 0.0, 0.09317512707005533, 0.07429209540470308, -0.09342946993614105, 0.27528514489302996, -0.9255596633570297, 0.09927094119266423, 0.27271190745368357, -0.9240789817529832, -0.025594497626257883, -0.06496237260686659, 0.6352258771073404, -0.9210839093839502, 0.07716830019665262, 0.5068941746612616, -0.9213528086134093
0.09196223045518459, 1.0, 1.0, 1.0, 1.0, 0.00902186467097386, 0.04492948321195749, 0.3487708135751578, 0.0, 0.0, 0.09478136164284784, 0.07525892174697642, -0.09394055934122453, 0.27492606341689735, -0.9251319969449505, 0.09931015858920805, 0.2726759890130913, -0.9237652139258307, -0.025694805366980364, -0.06589889564089989, 0.6350654819656931, -0.921000531739031, 0.0761294517039186, 0.5071199040037866, -0.9212487464123778
0.09348215894114276, 1.0, 1.0, 1.0, 1.0, 0.009177355085100774, 0.045287015523229335, 0.34888981955392023, 0.0, 0.0, 0.09671167082001471, 0.07561774393041525, -0.09469236236296993, 0.27466463017223386, -0.9247654257345969, 0.09962176434058055, 0.27259864374971493, -0.9234962700739856, -0.025780149902765847, -0.06682592869585308, 0.6347616079907958, -0.9209290651862431, 0.07504931913116797, 0.5074948337345913, -0.9211595502400652
0.09522911926043726, 1.0, 1.0, 1.0, 1.0, 0.009319315592448222, 0.04555414859453837, 0.348997065226237, 0.0, 0.0, 0.09893031042551872, 0.07551508598468978, -0.0956205461649275, 0.2744622844724792, -0.9244477306856237, 0.10019423114783388, 0.2725023121771419, -0.9232631854023866, -0.025854358445990915, -0.06776016876811554, 0.6343387062677072, -0.9208671275071602, 0.07392442636957006, 0.5080015133233278, -0.9210822468907275
0.09717294728941837, 1.0, 1.0, 1.0, 1.0, 0.009453067779541302, 0.045746470168232925, 0.34909363746643074, 0.0, 0.0, 0.10139897202232474, 0.07502095734918234, -0.09670183147203518, 0.27430466528416136, -0.9241697475177723, 0.10098768162712542, 0.27239175783687525, -0.9230592363147374, -0.025918548048316625, -0.06870147256182482, 0.6338228671742825, -0.9208129320379628, 0.07276097702329778, 0.5086259006582199, -0.9210146064600571
0.09927196642886646, 1.0, 1.0, 1.0, 1.0, 0.009580975700827492, 0.045877569633371695, 0.349180872300092, 0.0, 0.0, 0.10406472632942382, 0.07391749541795095, -0.09761202265983847, 0.27423109516348326, -0.9239244682520209, 0.10177630112544106, 0.2722018753637154, -0.9228792812373999, -0.025974337665269576, -0.06964787716307225, 0.6332363852141076, -0.9207651125063179, 0.07157347638969096, 0.5093497726185174, -0.9209549237271125
0.1014619134863527, 1.0, 1.0, 1.0, 1.0, 0.009706590440538478, 0.04595815473132664, 0.3492595969306099, 0.0, 0.0, 0.10684595909243133, 0.07233663951362847, -0.09835930145199527, 0.2742202810131246, -0.9237064422380199, 0.10252977790683747, 0.27195601745136316, -0.9227193211686555, -0.02600351302882832, -0.07057506274274311, 0.6326295997790683, -0.9207226062559669, 0.07040923390663595, 0.5101752732743832, -0.9209018724089396
0.10367131444606016, 1.0, 1.0, 1.0, 1.0, 0.009832763671875262, 0.04599666357040406, 0.3493304443359375, 0.0, 0.0, 0.10965189831125981, 0.07042289589297068, -0.09897643484931376, 0.2742807204621649, -0.9235113663307556, 0.10324043209701987, 0.27167539724554823, -0.922576199001884, -0.025994887735192432, -0.07145260500402972, 0.6320465799570599, -0.920684574347758, 0.069294624910162, 0.5110431993192985, -0.9208544054400479
0.10584334703128799, 1.0, 1.0, 1.0, 1.0, 0.009960556030273704, 0.045998914837837225, 0.3493939647674561, 0.0, 0.0, 0.11241037969449916, 0.06829513679820459, -0.0994924028899025, 0.27440221850921, -0.9233357980142178, 0.1039283862057561, 0.2713822799982127, -0.9224473890517899, -0.025968334624828664, -0.07224649059405965, 0.6314932475259242, -0.9206503456303702, 0.06826736734837016, 0.5119569667272499, -0.9208116851680457
0.10792696971794778, 1.0, 1.0, 1.0, 1.0, 0.01008934384300622, 0.04596907888139998, 0.34944898332868307, 0.0, 0.0, 0.1150565805065571, 0.06609019519309636, -0.09993934083030943, 0.27458729279528604, -0.9231769504897313, 0.10457404969561568, 0.27109330061099, -0.9223308467159905, -0.025932055809552438, -0.07292572697404767, 0.6309819211551378, -0.9206194162987803, 0.06736021130284069, 0.5128731898328398, -0.9207730334933767
0.10983812908470685, 1.0, 1.0, 1.0, 1.0, 0.010219171697443453, 0.04591187661344356, 0.3494996105540883, 0.0, 0.0, 0.1174837529023411, 0.06394449801355066, -0.10031962307952047, 0.2747856541799264, -0.923032543649289, 0.10527702885019123, 0.27075930129611314, -0.9222248991379908, -0.025923178162672523, -0.07344096198709661, 0.6305065715852967, -0.9205912610124721, 0.06661902113749901, 0.5136746344740711, -0.9207378956073142
0.11149519495712941, 1.0, 1.0, 1.0, 1.0, 0.010349121093750283, 0.0458312085400457, 0.3495471125063689, 0.0, 0.0, 0.11958822656031776, 0.06204106281149686, -0.1006505899353182, 0.27498889078877964, -0.9229006939254067, 0.10583025952234103, 0.2704770548856166, -0.9221281643928608, -0.025966342355416148, -0.07374202384111542, 0.630074416691209, -0.9205655540119299, 0.06608626504067053, 0.5143641376774524, -0.920705813189605
0.11286290868803621, 1.0, 1.0, 1.0, 1.0, 0.010479138692220355, 0.04573015381892523, 0.3495934470494589, 0.0, 0.0, 0.12132522299856939, 0.06023385766100867, -0.10109525276313445, 0.2752508783648567, -0.9227798316785149, 0.10620769183037948, 0.27018003530050033, -0.9220394908764916, -0.026004022577071285, -0.0738206241947739, 0.6297470193083726, -0.9205419892614328, 0.06579674654975191, 0.5149533334263635, -0.9206764043067047
0.1139213756543805, 1.0, 1.0, 1.0, 1.0, 0.010608886718750305, 0.045611313438415534, 0.3496385757446289, 0.0, 0.0, 0.12266947604582663, 0.05880174297442143, -0.10150720313866969, 0.27550364644881487, -0.9226686384113743, 0.1065557598782147, 0.2699297802848866, -0.921957911241432, -0.026038691792571952, -0.07366880099960142, 0.629532706275318, -0.9205203096909755, 0.06576149163964931, 0.5154292075004151, -0.9206493481344366
0.1146740697896974, 1.0, 1.0, 1.0, 1.0, 0.01073818500225391, 0.04547693527661838, 0.3496823751009428, 0.0, 0.0, 0.12362539759767908, 0.057755768011258084, -0.10189217908862999, 0.2757445986366482, -0.9225659984724752, 0.10687839625828331, 0.26972796048901776, -0.9218826069629154, -0.026070812548924734, -0.07329373133851104, 0.6294311390540249, -0.9205002977797841, 0.06597469371668534, 0.5157928162962219, -0.920624373206189
0.11513581136423523, 1.0, 1.0, 1.0, 1.0, 0.010866733127170437, 0.04532873886602897, 0.34972511997929334, 0.0, 0.0, 0.12421180939734214, 0.05708342997693469, -0.1022554064417738, 0.2759732595343727, -0.9224709614920131, 0.10717706023165408, 0.2695736032585337, -0.9218128807791037, -0.026100496546916527, -0.07270953414412241, 0.629439203295015, -0.9204817682323848, 0.06642350945798793, 0.5160502698087563, -0.9206012482726265
0.1155459653089758, 1.0, 1.0, 1.0, 1.0, 0.010994306291852971, 0.04516817220619747, 0.3497672244480678, 0.0, 0.0, 0.12446109109924944, 0.05675349498122995, -0.10259940117757436, 0.27618956126274824, -0.9223827128672984, 0.10745593049330139, 0.2694611922973838, -0.9217481350369928, -0.026127962442955018, -0.07193746877163128, 0.6295479759370524, -0.9204645622240852, 0.06708845370950013, 0.516212095962657, -0.9205797751200325
0.1186020419941039, 1.0, 1.0, 1.0, 1.0, 0.011518402099609684, 0.046603520512580876, 0.35009484972272603, 0.0, 0.0, 0.12775831111526534, 0.05973037547492018, -0.10305150847131846, 0.27568409887924866, -0.9223827128672983, 0.10683307944366417, 0.270271807765491, -0.9217481350369928, -0.026137269398177742, -0.0742887291609018, 0.6296120837265926, -0.9204645622240852, 0.06451542360001954, 0.5164249547524831, -0.9205797751200325
0.12162080396400209, 1.0, 1.0, 1.0, 1.0, 0.012050367082868631, 0.048016051650047305, 0.35042479378836505, 0.0, 0.0, 0.13071455742543242, 0.06305523198122963, -0.10351704945616198, 0.27517872182323194, -0.9223827128672984, 0.10620731440626882, 0.27112162311689303, -0.9217481350369928, -0.026146507211482862, -0.07639324238701921, 0.6297968743710234, -0.9204645622240852, 0.06221938466887157, 0.5165532624217092, -0.9205797751200325
0.12283988496322079, 1.0, 1.0, 1.0, 1.0, 0.012231804983956802, 0.04743414108242309, 0.3504698698861259, 0.0, 0.0, 0.13006766360790117, 0.062381708133461077, -0.10393014779834313, 0.2757094677695267, -0.9223827128672983, 0.10676982508862894, 0.2708879047708958, -0.9217481350369928, -0.026144968623756846, -0.07405634995422283, 0.63018136434858, -0.9204645622240852, 0.06443530133098647, 0.5167044024062466, -0.9205797751200325
0.12408183855821299, 1.0, 1.0, 1.0, 1.0, 0.012416152954101875, 0.04684115878173284, 0.3505162606920515, 0.0, 0.0, 0.12927235064486417, 0.06178131282690359, -0.10429195408066712, 0.27626279880354127, -0.9223827128672984, 0.10728644153555934, 0.27065210571948867, -0.9217481350369928, -0.026143061313382763, -0.07161474041109887, 0.6306354714758767, -0.9204645622240852, 0.06678384697499852, 0.5168301039558232, -0.9205797751200325
0.12534697396012312, 1.0, 1.0, 1.0, 1.0, 0.012605013166155445, 0.0462374421954155, 0.350563041142055, 0.0, 0.0, 0.1282845317184077, 0.06127994146362937, -0.10458430289765085, 0.2768342496472919, -0.9223827128672984, 0.10773645342430774, 0.27041793972472516, -0.9217481350369928, -0.026140880952119302, -0.06905103020455523, 0.6311779912427747, -0.9204645622240852, 0.06929183567853682, 0.5169211477267058, -0.9205797751200325
0.1266339030923289, 1.0, 1.0, 1.0, 1.0, 0.012798091343471318, 0.04562362832682474, 0.3506096635546004, 0.0, 0.0, 0.12708417932602212, 0.06089072785794604, -0.10479790162727601, 0.2774202109846774, -0.9223827128672984, 0.10811004550945237, 0.27018667276964026, -0.9217481350369928, -0.026138109875837173, -0.06635906272023509, 0.6318197792654018, -0.9204645622240852, 0.07197145180786724, 0.5169744999807494, -0.9205797751200325
0.12794210275344495, 1.0, 1.0, 1.0, 1.0, 0.012995768955776001, 0.04500011397259577, 0.3506554944174631, 0.0, 0.0, 0.1256474986922205, 0.060627137402378524, -0.10492286800188998, 0.27801638745068225, -0.9223827128672984, 0.10839522845185211, 0.2699586047087746, -0.9217481350369928, -0.02613518254399159, -0.06353282463343472, 0.6325688093720317, -0.9204645622240852, 0.07483645685492854, 0.516985376536475, -0.9205797751200325
0.12928530860933607, 1.0, 1.0, 1.0, 1.0, 0.013198111397879757, 0.044367384697709775, 0.35069995198931014, 0.0, 0.0, 0.12394162725523879, 0.06050168321727828, -0.10495044805591601, 0.27861755209036504, -0.9223827128672984, 0.10857219921399638, 0.269732882374008, -0.9217481350369929, -0.026131901782514715, -0.060557868001342385, 0.6334384168960847, -0.9204645622240852, 0.07790661725141253, 0.5169452062578884, -0.9205797751200325
0.13083029069383234, 1.0, 1.0, 1.0, 1.0, 0.013405336652483557, 0.04372628450393678, 0.35074209894452785, 0.0, 0.0, 0.12197950000792854, 0.06052986625662382, -0.10487057520488231, 0.27921570589055295, -0.9223827128672984, 0.10866024780774015, 0.26951748932367986, -0.9217481350369928, -0.02612821789772307, -0.05744225029938308, 0.63442512005825, -0.9204645622240852, 0.0811723901441139, 0.5168586199007106, -0.9205797751200325
